timestamp,csi_data
1778750910,"94,96,5,0,10,26,10,26,9,25,9,24,8,23,8,21,9,18,9,16,9,15,9,15,10,15,10,15,10,15,11,13,10,13,9,13,8,13,6,13,7,13,7,12,6,12,6,12,6,12,5,11,4,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,16,12,18,13,19,12,19,11,20,11,20,11,21,11,22,11,24,12,24,12,25,12,25,11,25,10,26,9,26,9,26,10,25,10,25,10,25,10,26,11,27,11,26,11,25,12,26,12,26,13,25,6,14,21,48,22,48,22,47,21,44,20,42,19,40,19,38,19,35,19,33,18,29,18,28,18,27,19,27,19,27,19,27,18,27,17,26,16,24,16,24,16,22,14,22,12,22,11,22,10,22,9,23,8,23,5,24,2,24,0,4,-1,1,-1,-1,-2,-1,-1,-1,2,1,5,3,32,22,30,23,27,29,27,31,27,34,27,36,26,37,25,38,25,40,23,42,23,44,23,46,23,48,23,48,22,48,21,48,20,47,19,47,20,48,20,49,20,50,21,49,23,50,25,49,25,49,26,49,26,48,25,47"
1778750910,"96,-128,5,0,-5,28,-4,26,-3,25,-3,24,-3,22,-3,20,-2,20,0,19,1,17,1,15,1,14,1,14,3,15,4,15,4,15,4,15,4,13,4,13,4,13,3,13,3,12,3,12,3,11,3,11,1,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,-1,23,-3,24,-4,25,-5,25,-5,25,-6,25,-6,26,-7,27,-7,29,-8,29,-8,30,-7,30,-8,30,-9,29,-9,28,-9,28,-9,27,-8,27,-8,27,-7,28,-7,29,-7,29,-6,28,-7,29,-8,31,-3,16,-7,54,-5,51,-2,48,-1,46,0,44,0,42,0,39,0,37,1,35,3,33,4,30,5,28,6,28,8,28,10,28,11,27,11,26,11,24,10,24,9,24,8,24,7,24,7,23,8,22,7,21,6,22,7,21,4,21,0,3,-1,0,-1,-1,-1,-2,-1,-1,0,2,2,8,11,45,10,45,3,44,1,45,-1,46,-2,48,-3,49,-3,50,-5,50,-6,51,-8,53,-10,56,-11,58,-11,58,-11,58,-12,58,-13,56,-12,56,-12,57,-12,57,-11,57,-10,56,-10,55,-9,55,-7,54,-6,55,-7,56,-9,57"
1778750911,"94,96,5,0,-20,-17,-20,-17,-19,-17,-18,-15,-18,-13,-17,-12,-16,-11,-15,-11,-14,-11,-14,-10,-14,-8,-14,-7,-13,-6,-12,-6,-11,-6,-11,-6,-11,-6,-10,-5,-10,-5,-10,-5,-11,-6,-11,-6,-10,-6,-10,-6,-10,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-3,-17,-9,-18,-10,-19,-11,-20,-11,-20,-12,-20,-12,-20,-13,-20,-14,-21,-16,-21,-16,-22,-16,-23,-17,-23,-19,-22,-19,-21,-19,-22,-19,-22,-19,-22,-19,-23,-18,-23,-18,-23,-17,-22,-17,-21,-18,-22,-19,-24,-19,-24,-19,-13,-11,-40,-34,-38,-33,-35,-32,-33,-31,-32,-28,-31,-26,-29,-24,-27,-23,-26,-22,-25,-20,-25,-18,-25,-16,-25,-15,-24,-13,-24,-12,-24,-12,-23,-11,-22,-10,-21,-9,-21,-10,-20,-10,-19,-10,-19,-9,-18,-9,-17,-9,-17,-9,-16,-9,-16,-10,-3,-2,-1,-1,0,0,1,0,0,0,-2,-1,-6,-3,-34,-16,-32,-17,-33,-18,-34,-20,-35,-21,-36,-23,-37,-24,-37,-25,-37,-27,-36,-29,-37,-31,-39,-31,-41,-33,-42,-35,-42,-36,-41,-38,-40,-39,-41,-39,-41,-38,-42,-38,-42,-36,-42,-36,-41,-35,-40,-36,-40,-36,-41,-36,-42,-36,-42,-35"
1778750911,"96,-128,5,0,-2,-26,-1,-25,-1,-25,-1,-25,-2,-23,-3,-22,-4,-21,-5,-21,-5,-20,-4,-20,-4,-20,-5,-18,-5,-17,-5,-18,-5,-18,-5,-17,-4,-16,-4,-16,-3,-15,-2,-15,-1,-14,-2,-14,-2,-13,-1,-12,0,-12,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,-3,-21,-3,-22,-2,-23,-1,-23,-1,-24,-1,-24,0,-25,0,-27,1,-28,2,-28,2,-29,3,-29,4,-29,4,-28,4,-28,3,-28,3,-29,3,-29,2,-29,2,-28,2,-28,2,-28,2,-28,1,-29,0,-29,0,-28,-2,-16,-4,-51,-4,-50,-4,-48,-4,-47,-4,-46,-4,-44,-5,-41,-7,-41,-8,-40,-9,-40,-10,-38,-11,-37,-11,-35,-11,-34,-10,-33,-9,-33,-8,-32,-7,-31,-7,-30,-7,-29,-6,-28,-5,-26,-5,-26,-5,-25,-4,-24,-4,-23,-7,-25,-6,-25,-1,-5,-1,-2,-1,0,0,1,0,0,-2,-2,-3,-7,-12,-36,-9,-36,-7,-38,-5,-40,-4,-42,-4,-45,-3,-47,-2,-48,-1,-49,1,-51,2,-52,3,-54,4,-56,5,-57,5,-57,6,-56,6,-55,6,-54,6,-54,6,-55,5,-55,4,-55,3,-55,2,-55,2,-55,1,-56,1,-57,1,-57"
1778750911,"94,96,5,0,26,-2,25,-2,24,-3,23,-2,22,-2,21,-3,20,-4,19,-5,19,-6,19,-6,18,-6,17,-6,16,-5,15,-5,15,-7,16,-7,16,-7,16,-6,15,-4,14,-3,13,-3,13,-3,14,-3,14,-2,13,-1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,19,-7,21,-7,22,-5,23,-4,24,-5,25,-5,25,-4,26,-3,27,-3,28,-3,28,-2,27,0,27,1,27,1,27,1,27,0,27,0,27,0,28,0,27,1,27,1,26,0,26,-1,27,-1,27,-3,26,-5,15,-1,52,-1,49,-2,47,-2,45,-3,43,-3,42,-3,41,-4,39,-6,36,-7,35,-10,35,-10,34,-10,33,-10,32,-10,32,-9,31,-10,29,-11,29,-11,28,-11,27,-10,27,-9,25,-8,25,-6,25,-5,25,-4,25,-2,25,-1,24,-1,4,-1,1,-1,-1,-1,-2,0,-1,0,1,-1,6,-4,35,-16,36,-15,37,-13,39,-12,41,-9,44,-7,46,-6,47,-6,49,-6,50,-5,50,-5,52,-4,53,-2,55,1,55,3,54,3,53,3,53,3,53,2,53,1,53,1,53,1,52,1,52,0,52,0,51,-1,50,-4,49,-7"
1778750912,"94,96,5,0,-27,-4,-24,-4,-23,-3,-23,-2,-22,-1,-21,-1,-20,0,-19,0,-18,0,-17,1,-17,2,-18,3,-17,3,-16,3,-15,2,-15,2,-14,2,-14,2,-15,2,-14,2,-13,2,-11,1,-11,0,-12,1,-13,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-23,1,-24,1,-24,0,-25,-1,-25,-2,-26,-3,-27,-4,-28,-5,-29,-6,-30,-6,-30,-7,-29,-8,-30,-9,-30,-9,-30,-11,-29,-10,-27,-8,-26,-8,-27,-8,-27,-6,-27,-6,-28,-6,-28,-6,-28,-5,-28,-6,-29,-5,-15,-5,-50,-12,-48,-11,-45,-8,-44,-6,-42,-3,-40,-3,-38,-3,-37,-3,-36,-2,-35,-2,-34,0,-34,2,-32,3,-31,4,-29,4,-28,3,-28,3,-28,2,-29,3,-29,3,-28,3,-26,2,-23,0,-22,0,-21,0,-22,1,-20,-1,-19,-1,-4,-1,-1,-1,0,-1,1,-1,0,-1,-2,0,-8,2,-43,11,-44,9,-45,4,-45,2,-46,0,-46,-1,-48,-2,-51,-5,-53,-8,-56,-9,-57,-10,-58,-12,-57,-13,-55,-15,-54,-16,-54,-17,-54,-18,-55,-16,-53,-14,-52,-14,-52,-14,-51,-13,-51,-12,-52,-12,-53,-12,-53,-11,-53,-9,-53,-7"
1778750912,"94,96,5,0,-9,23,-8,21,-7,19,-6,19,-5,19,-4,18,-4,17,-4,16,-3,15,-2,15,-1,15,0,15,1,15,1,15,1,14,1,13,1,12,-1,13,0,13,-1,12,-2,12,-1,12,-1,12,-1,11,-1,10,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,-1,21,-2,22,-3,23,-5,24,-5,24,-5,25,-7,25,-8,26,-8,26,-8,27,-9,28,-10,28,-10,27,-10,27,-10,27,-11,27,-12,27,-11,27,-10,26,-10,26,-10,25,-11,25,-11,26,-10,26,-8,25,-7,23,-7,14,-20,46,-21,43,-19,40,-17,37,-16,36,-14,36,-12,34,-11,32,-8,30,-6,28,-4,28,-2,28,-1,29,0,29,-1,28,0,27,0,26,-1,24,-2,25,-2,25,-3,24,-4,24,-3,23,-3,22,-4,21,-5,20,-8,21,-10,21,-2,3,-1,1,-1,-1,0,-2,0,-1,-1,2,-1,7,-6,41,-9,40,-6,40,-8,41,-10,42,-13,43,-14,44,-14,46,-16,47,-18,49,-19,49,-21,50,-23,51,-25,51,-25,50,-25,49,-26,48,-27,48,-27,48,-26,48,-26,47,-24,46,-23,46,-23,46,-23,47,-22,48,-22,48,-22,48"
1778750912,"94,96,5,0,-2,27,0,26,1,25,0,23,0,21,1,21,1,20,0,20,0,19,1,18,1,18,2,18,2,17,1,18,1,17,1,16,1,15,0,14,0,14,-1,13,-1,13,-1,12,-1,12,-1,12,-1,12,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,17,3,17,3,18,1,19,1,20,1,21,0,21,-1,22,-1,23,0,24,-1,25,-1,25,-2,25,-2,25,-1,25,-2,25,-3,26,-3,26,-2,26,-1,26,0,25,0,26,0,27,1,27,2,27,1,27,-1,16,-1,52,-1,51,-1,49,0,47,0,45,0,43,-1,41,-1,39,-2,38,-1,37,1,36,3,35,3,35,3,33,3,32,2,32,1,31,1,29,0,28,0,27,-1,26,-2,25,-3,24,-3,23,-3,23,-4,22,-6,22,-6,22,-2,4,-1,1,0,-1,-1,-1,0,-1,0,1,0,5,4,30,2,30,3,32,3,33,2,35,0,37,-1,39,-1,40,-2,40,-3,41,-3,43,-4,44,-4,46,-5,47,-5,48,-5,48,-5,49,-5,50,-6,50,-6,50,-6,49,-5,48,-4,47,-4,49,-4,50,-4,52,-4,52,-3,52"
1778750912,"94,96,5,0,12,-20,12,-20,12,-19,11,-18,10,-18,9,-19,9,-19,8,-19,6,-19,5,-19,5,-19,6,-18,6,-18,5,-18,5,-18,5,-18,5,-18,6,-17,6,-16,6,-15,6,-14,6,-13,6,-12,5,-12,6,-12,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,9,-17,10,-17,11,-18,12,-18,13,-17,13,-18,13,-19,14,-20,15,-20,17,-19,18,-19,18,-19,18,-18,18,-18,19,-19,19,-19,18,-19,18,-20,18,-19,18,-20,17,-20,16,-19,15,-19,15,-20,14,-21,14,-21,8,-12,27,-39,25,-39,24,-38,22,-37,21,-35,20,-35,18,-35,16,-34,14,-35,13,-35,11,-36,10,-36,10,-35,10,-34,10,-34,11,-34,11,-32,12,-31,12,-30,12,-28,12,-27,12,-26,13,-24,13,-22,12,-21,13,-20,14,-17,13,-18,2,-4,0,-2,-1,0,-1,1,-1,0,0,-2,1,-6,7,-34,10,-34,15,-33,17,-34,18,-35,21,-35,23,-35,25,-36,27,-36,29,-37,31,-38,33,-38,33,-39,34,-39,34,-37,34,-37,35,-37,36,-38,36,-38,35,-38,34,-38,33,-38,31,-38,31,-38,30,-38,30,-39,29,-40,27,-42"
1778750912,"96,-128,5,0,27,-6,25,-7,25,-6,24,-6,22,-6,20,-8,20,-8,19,-8,18,-8,18,-8,18,-9,18,-8,17,-7,17,-6,16,-7,16,-6,16,-6,15,-6,15,-5,15,-4,14,-4,13,-3,12,-3,12,-3,12,-2,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,17,-8,18,-8,19,-8,20,-7,21,-7,22,-7,23,-7,24,-8,25,-8,26,-7,27,-6,27,-6,27,-6,27,-5,28,-4,27,-4,28,-2,29,-3,29,-5,28,-5,26,-5,26,-5,27,-5,27,-6,27,-7,28,-7,15,-1,52,-4,51,-3,48,-3,46,-4,45,-4,43,-5,40,-6,39,-6,38,-6,37,-7,38,-8,37,-9,36,-9,35,-8,34,-7,33,-7,33,-7,33,-7,32,-7,31,-5,29,-4,28,-3,26,-3,25,-2,24,-2,23,0,22,4,20,5,3,1,0,0,-1,-1,-2,0,-1,-1,1,-1,6,-2,34,-11,36,-8,36,-10,37,-9,39,-8,41,-7,42,-6,44,-5,45,-3,48,-3,50,-3,52,-2,53,-1,53,0,53,-1,54,0,54,2,54,2,54,3,54,2,53,0,52,1,52,0,52,0,53,-1,54,-1,54,-2,55,-2"
