timestamp,csi_data
1778752035,"96,-128,5,0,-1,26,0,27,1,26,1,23,1,22,2,23,2,24,1,23,0,23,0,23,0,22,1,22,1,22,0,23,0,22,-1,20,-1,19,-1,19,-2,19,-3,17,-3,16,-4,15,-5,14,-5,13,-5,13,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,18,-1,18,-2,19,-2,20,-2,22,-2,21,-2,22,-3,23,-4,24,-5,25,-5,24,-6,24,-7,25,-6,25,-5,25,-5,25,-6,26,-5,26,-5,25,-5,25,-5,26,-3,26,-2,26,-1,27,-1,26,-1,15,-2,49,-2,50,-1,51,1,50,2,48,3,46,3,46,3,45,2,45,1,44,1,44,1,44,3,44,4,44,2,43,1,41,0,39,-2,37,-3,36,-4,35,-5,33,-6,31,-7,29,-8,28,-9,27,-10,27,-12,27,-14,25,-3,4,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,5,4,30,3,30,0,32,-1,33,-2,34,-3,36,-3,38,-3,40,-4,42,-5,42,-7,44,-9,45,-11,46,-12,47,-13,48,-13,49,-13,49,-12,48,-11,48,-11,48,-11,49,-10,49,-10,50,-8,51,-6,51,-5,52,-4,52,-4,53"
1778752035,"94,96,5,0,6,-25,4,-25,4,-25,5,-24,4,-24,4,-25,4,-24,4,-23,3,-23,2,-25,1,-24,3,-23,4,-22,4,-21,4,-21,4,-20,5,-19,5,-18,6,-17,5,-16,5,-15,6,-14,6,-13,6,-12,6,-12,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,2,-17,3,-17,4,-17,5,-18,6,-19,6,-19,7,-21,8,-22,9,-24,10,-24,10,-24,11,-23,11,-23,11,-22,11,-23,11,-23,11,-24,10,-23,10,-23,10,-23,9,-24,9,-25,10,-26,10,-27,9,-28,9,-28,4,-16,14,-50,11,-50,9,-50,7,-49,7,-48,6,-47,5,-48,4,-47,4,-45,3,-44,3,-45,2,-45,3,-44,3,-43,4,-42,5,-40,6,-38,8,-37,8,-36,8,-34,7,-32,8,-30,9,-27,11,-26,12,-25,12,-23,13,-21,13,-18,2,-4,0,-1,-1,0,0,1,-1,0,-1,-2,-1,-6,0,-32,1,-31,5,-32,6,-32,7,-33,9,-34,10,-36,11,-37,12,-39,14,-41,16,-43,18,-45,19,-44,19,-44,19,-44,19,-44,20,-45,20,-45,20,-45,19,-45,18,-44,18,-44,16,-45,15,-46,15,-48,15,-49,14,-51,13,-52"
1778752035,"94,96,5,0,-26,-1,-26,-1,-25,-1,-25,1,-23,1,-23,2,-24,2,-23,3,-22,4,-21,4,-22,4,-22,3,-21,3,-21,3,-21,1,-20,1,-20,1,-20,1,-18,1,-17,0,-16,-1,-17,-1,-17,-2,-16,-3,-15,-3,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-19,1,-19,1,-20,-1,-21,-1,-22,-2,-22,-3,-23,-3,-24,-4,-25,-6,-26,-7,-26,-5,-26,-5,-27,-6,-26,-7,-26,-7,-28,-6,-28,-6,-26,-6,-26,-6,-28,-6,-29,-6,-28,-6,-27,-6,-28,-5,-28,-3,-28,-2,-16,0,-51,2,-50,3,-48,4,-47,5,-46,6,-44,7,-43,7,-43,8,-42,9,-41,11,-41,12,-41,12,-41,12,-40,11,-39,10,-38,9,-36,8,-36,8,-35,7,-34,6,-33,5,-32,3,-31,0,-30,-2,-28,-3,-27,-4,-27,-2,-28,-2,-5,-1,-2,-1,0,-1,0,-1,0,-1,-2,0,-7,2,-35,13,-35,11,-35,4,-36,3,-38,2,-40,2,-43,1,-45,0,-47,0,-48,-1,-49,-3,-51,-4,-51,-4,-52,-6,-53,-8,-53,-8,-53,-8,-53,-7,-53,-7,-52,-7,-53,-7,-53,-6,-53,-6,-52,-5,-51,-4,-52,-3,-53,-2,-54,-1"
1778752035,"96,-128,5,0,-14,-25,-13,-24,-12,-24,-13,-24,-13,-23,-13,-22,-13,-21,-13,-20,-13,-20,-13,-20,-13,-20,-13,-20,-13,-20,-12,-20,-12,-20,-11,-19,-9,-17,-8,-17,-6,-17,-5,-16,-5,-16,-5,-16,-4,-15,-3,-14,-3,-13,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-9,-14,-9,-14,-9,-15,-9,-16,-10,-16,-10,-17,-9,-18,-9,-19,-10,-20,-11,-23,-9,-23,-8,-23,-8,-23,-8,-23,-9,-23,-10,-23,-9,-24,-10,-24,-10,-25,-11,-25,-12,-24,-12,-24,-11,-25,-12,-26,-14,-27,-14,-27,-9,-15,-28,-47,-28,-46,-27,-45,-26,-44,-26,-44,-27,-43,-27,-42,-26,-41,-26,-40,-25,-39,-25,-39,-26,-38,-26,-37,-25,-36,-24,-36,-22,-35,-21,-35,-19,-35,-17,-34,-15,-32,-13,-31,-12,-30,-12,-29,-10,-28,-9,-27,-8,-26,-7,-25,-6,-25,-2,-5,-1,-2,0,0,0,0,0,0,-1,-2,-3,-5,-14,-24,-14,-24,-15,-26,-15,-27,-15,-29,-15,-30,-15,-32,-16,-33,-16,-35,-16,-36,-17,-38,-18,-42,-17,-44,-16,-44,-16,-44,-16,-45,-17,-45,-17,-46,-17,-46,-17,-47,-19,-47,-20,-48,-21,-48,-22,-47,-22,-48,-23,-49,-24,-49,-24,-49"
1778752035,"96,-128,5,0,16,-23,15,-22,14,-22,13,-21,12,-21,12,-22,11,-22,11,-21,11,-20,11,-20,10,-20,11,-19,11,-18,10,-18,10,-18,11,-16,10,-14,9,-14,10,-14,9,-13,9,-12,8,-12,8,-11,8,-10,8,-9,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,8,-14,8,-14,10,-15,11,-15,12,-15,11,-16,11,-16,13,-17,15,-18,16,-19,17,-19,18,-18,18,-18,17,-19,17,-20,18,-20,17,-20,16,-20,18,-20,18,-21,17,-21,16,-20,17,-22,17,-23,16,-22,16,-23,9,-14,29,-44,28,-43,27,-43,24,-43,22,-42,21,-42,21,-41,20,-41,19,-41,19,-40,18,-39,17,-38,19,-37,20,-37,19,-36,19,-35,19,-33,18,-31,18,-29,18,-28,18,-26,17,-25,17,-24,16,-22,16,-20,17,-19,19,-15,20,-13,3,-3,1,-1,-1,0,-1,0,-1,0,0,-2,1,-5,11,-28,13,-27,15,-26,16,-27,18,-28,19,-29,21,-30,22,-31,23,-32,26,-33,28,-35,29,-37,30,-37,32,-37,33,-36,32,-36,33,-37,32,-37,31,-38,31,-38,32,-38,33,-39,32,-39,31,-40,32,-41,31,-43,31,-43,30,-43"
1778752035,"94,96,5,0,26,1,27,2,27,1,26,0,25,-1,25,-1,24,-1,23,-2,23,-2,23,-2,23,-2,23,-2,22,0,22,0,21,0,20,1,20,1,18,1,17,1,17,2,16,3,16,4,14,4,13,4,12,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,16,-1,17,-1,18,-1,18,1,19,2,20,2,21,2,21,3,22,4,23,4,24,4,24,5,24,6,24,6,25,5,24,6,24,7,25,7,25,5,25,4,25,3,26,4,27,4,27,4,27,2,14,0,49,3,49,2,49,2,50,2,49,1,48,0,47,0,45,-1,44,-1,44,-3,44,-3,44,-4,43,-4,42,-3,42,-1,41,-1,40,1,38,1,37,1,36,1,34,3,32,4,30,6,28,7,26,8,25,9,24,11,22,13,4,2,0,0,-1,-1,-1,0,-1,0,1,-1,4,-1,28,-4,30,-3,30,-1,31,0,32,1,33,2,34,3,36,4,38,4,41,4,43,5,44,6,45,8,46,9,46,11,45,13,46,13,46,13,46,13,47,13,48,11,48,9,47,7,48,6,49,7,51,7,52,7,51,6"
1778752036,"94,96,5,0,-14,-24,-14,-24,-14,-24,-14,-23,-14,-22,-14,-21,-15,-21,-14,-21,-13,-19,-12,-18,-13,-18,-14,-18,-13,-18,-12,-18,-11,-17,-10,-17,-9,-17,-9,-16,-9,-16,-8,-16,-7,-16,-7,-15,-7,-15,-6,-15,-4,-15,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-4,-9,-14,-8,-14,-8,-15,-9,-17,-10,-18,-9,-19,-10,-20,-11,-22,-11,-22,-10,-23,-9,-24,-8,-24,-9,-25,-9,-25,-9,-26,-9,-26,-9,-26,-9,-26,-10,-26,-11,-26,-11,-26,-11,-26,-11,-27,-11,-27,-12,-26,-13,-26,-9,-15,-28,-46,-29,-45,-29,-44,-29,-43,-29,-41,-29,-40,-29,-39,-29,-38,-28,-36,-26,-34,-26,-33,-27,-32,-27,-32,-27,-33,-25,-33,-24,-31,-23,-31,-21,-30,-20,-30,-19,-29,-18,-28,-16,-27,-15,-26,-13,-26,-11,-26,-9,-26,-9,-24,-8,-25,-2,-5,-1,-2,0,0,0,0,0,0,-2,-1,-5,-4,-26,-18,-25,-20,-21,-25,-21,-27,-22,-29,-22,-30,-23,-32,-23,-34,-23,-36,-23,-38,-23,-40,-23,-42,-23,-43,-23,-44,-23,-46,-23,-46,-22,-47,-22,-48,-22,-49,-22,-48,-23,-47,-24,-47,-24,-47,-25,-47,-27,-47,-29,-47,-30,-48,-30,-48"
1778752036,"96,-128,5,0,0,-27,-1,-27,-1,-26,-2,-25,-3,-23,-4,-22,-4,-22,-4,-23,-3,-23,-3,-22,-4,-21,-5,-21,-5,-21,-3,-21,-2,-20,-2,-20,-1,-18,0,-17,-1,-17,-1,-17,0,-17,1,-16,1,-15,1,-15,1,-14,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,-4,-17,-3,-18,-3,-18,-3,-19,-2,-21,-1,-21,-1,-22,-1,-23,0,-23,0,-25,0,-25,0,-25,0,-26,1,-26,2,-26,3,-27,2,-27,1,-27,0,-27,0,-27,0,-26,0,-26,-1,-27,-1,-28,0,-27,0,-27,0,-17,0,-53,-1,-52,-3,-49,-4,-47,-5,-46,-6,-45,-6,-43,-6,-42,-5,-42,-5,-41,-5,-40,-6,-40,-7,-39,-7,-39,-6,-38,-5,-37,-4,-36,-2,-35,0,-33,0,-33,0,-32,1,-32,2,-30,2,-29,4,-28,5,-26,7,-24,7,-23,1,-4,0,-2,-1,0,0,0,-1,0,-1,-2,-2,-5,-8,-28,-7,-30,-6,-32,-5,-33,-4,-34,-3,-35,-1,-37,-1,-39,-1,-41,1,-43,2,-44,3,-46,3,-47,4,-48,5,-50,5,-51,6,-51,7,-51,7,-50,5,-50,4,-51,3,-51,3,-51,2,-51,1,-52,1,-53,1,-53,1,-53"
1778752036,"96,-128,5,0,-14,25,-14,25,-12,24,-11,22,-11,22,-10,23,-9,24,-9,24,-9,23,-9,22,-9,21,-8,21,-8,21,-9,19,-9,19,-9,18,-10,17,-10,16,-10,16,-10,15,-10,14,-10,12,-10,11,-10,11,-10,11,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-8,15,-8,16,-9,17,-11,17,-12,16,-12,17,-13,19,-14,19,-15,19,-16,19,-17,19,-18,20,-17,20,-16,21,-16,22,-17,21,-18,21,-17,22,-16,22,-15,22,-15,22,-15,23,-15,25,-16,25,-16,24,-14,24,-9,14,-27,48,-26,49,-25,49,-23,48,-23,47,-24,46,-22,47,-20,46,-20,45,-19,43,-17,42,-16,41,-15,41,-14,40,-15,39,-15,38,-17,36,-19,33,-19,32,-18,32,-17,30,-17,29,-18,27,-18,25,-18,23,-19,21,-19,20,-20,19,-4,3,-2,1,0,-1,0,-2,0,-1,-1,1,-2,5,-12,33,-14,32,-15,31,-16,31,-18,32,-20,33,-21,34,-23,36,-25,38,-26,39,-27,39,-28,39,-31,39,-33,39,-34,40,-34,40,-33,41,-32,41,-32,41,-32,41,-31,41,-30,42,-29,43,-28,45,-28,46,-28,46,-29,45,-29,44"
1778752036,"96,-128,5,0,13,-25,13,-25,13,-24,13,-23,12,-22,11,-22,10,-21,9,-22,9,-23,9,-23,8,-22,9,-21,9,-20,9,-20,8,-20,8,-19,8,-18,10,-18,10,-18,9,-16,9,-15,9,-14,9,-14,9,-13,9,-12,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,7,-16,8,-16,8,-17,9,-18,9,-20,10,-21,11,-20,12,-19,13,-20,14,-21,15,-21,16,-20,16,-20,16,-20,16,-20,17,-21,17,-22,16,-22,16,-22,15,-22,15,-23,15,-24,16,-24,17,-24,16,-24,15,-24,7,-16,24,-49,24,-49,23,-48,22,-47,21,-45,20,-44,19,-43,17,-42,17,-42,16,-42,15,-41,15,-41,14,-41,14,-40,15,-39,15,-38,16,-36,16,-35,17,-33,18,-32,17,-31,16,-30,16,-28,16,-27,16,-25,17,-23,18,-23,19,-22,3,-4,1,-2,-1,0,-1,1,-1,0,0,-2,0,-7,4,-33,6,-32,10,-30,12,-31,13,-32,15,-35,16,-37,17,-39,19,-39,20,-39,21,-40,23,-40,25,-40,26,-40,28,-40,29,-40,29,-41,30,-41,30,-42,29,-43,28,-44,27,-44,27,-45,28,-47,28,-48,28,-48,27,-49,25,-50"
