timestamp,csi_data
1778752372,"94,96,5,0,26,25,24,23,23,23,22,23,23,23,23,22,21,20,19,18,16,18,18,18,21,16,21,16,20,17,20,18,19,17,17,15,15,16,15,16,14,15,10,15,9,14,10,14,9,14,7,14,7,14,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,6,7,6,6,6,6,6,7,8,9,8,9,8,9,10,10,13,11,12,12,12,12,13,11,15,13,17,15,18,17,16,19,16,19,18,18,21,18,22,18,22,20,24,22,25,21,25,21,25,23,17,14,56,46,52,42,49,40,47,38,46,37,45,37,45,36,43,34,41,33,41,34,43,35,45,33,44,30,43,27,41,26,39,26,35,26,32,28,30,28,28,27,24,27,22,27,21,27,19,27,16,26,14,26,15,22,14,22,2,4,0,1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,10,4,11,8,13,10,13,11,13,12,12,14,13,17,14,18,14,20,14,22,16,25,20,26,23,29,23,31,23,33,24,33,27,36,29,37,31,40,33,43,35,45,34,45,34,45,36,47,38,49,36,51,37,52,41"
1778752372,"94,96,5,0,-29,11,-27,9,-25,8,-24,9,-24,11,-20,14,-17,14,-18,12,-20,11,-21,11,-20,11,-19,11,-17,11,-16,12,-17,13,-18,12,-17,10,-14,7,-14,6,-14,6,-15,7,-15,6,-13,6,-12,4,-12,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-7,0,-6,1,-7,1,-9,1,-9,2,-9,4,-11,4,-12,3,-14,3,-14,6,-14,7,-14,7,-15,6,-18,4,-20,5,-19,6,-19,8,-22,8,-23,6,-23,8,-24,11,-26,12,-27,12,-29,10,-30,8,-28,9,-15,9,-48,30,-49,29,-48,28,-43,27,-42,26,-40,26,-37,26,-33,24,-31,22,-31,23,-31,25,-31,26,-31,28,-29,28,-28,28,-29,26,-29,24,-28,23,-26,22,-26,19,-27,18,-27,16,-26,15,-24,15,-22,13,-21,9,-20,14,-19,9,-4,1,-2,0,0,-1,0,-1,0,-1,-1,0,-1,0,-8,5,-9,5,-11,1,-11,2,-13,3,-15,5,-16,6,-17,9,-17,10,-19,11,-23,12,-25,13,-27,15,-27,16,-28,15,-30,14,-33,15,-36,18,-38,20,-39,21,-40,20,-40,21,-42,22,-45,25,-48,27,-51,26,-51,24,-49,24"
1778752373,"94,96,5,0,27,22,28,21,28,18,26,18,26,19,26,18,24,16,23,13,23,13,25,14,26,15,24,14,24,13,24,13,23,15,22,15,19,13,17,12,17,13,16,14,15,15,14,16,13,15,13,14,14,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,4,8,3,9,2,10,4,10,6,10,7,12,8,15,9,19,8,20,9,20,9,19,10,20,12,22,14,23,14,22,15,22,16,23,17,23,16,25,15,26,16,27,17,28,19,28,19,28,16,16,7,55,28,56,30,58,31,58,30,56,31,55,29,54,27,52,26,49,23,48,21,50,21,50,22,48,23,49,22,49,22,48,24,46,23,43,22,40,22,36,24,33,24,31,24,29,24,28,23,25,23,22,23,15,21,13,20,2,3,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,5,3,8,4,8,6,12,7,14,7,15,7,16,7,18,9,20,10,23,12,27,13,32,14,34,16,34,18,34,19,37,21,39,23,41,23,41,23,44,25,46,27,47,27,49,27,52,27,55,28,56,29,57,28,58,25"
1778752373,"94,96,5,0,15,24,15,23,14,25,14,27,14,26,14,25,14,25,14,25,15,23,16,21,15,22,14,24,14,22,13,21,12,21,11,21,10,21,9,20,7,19,5,19,4,18,5,18,5,19,3,17,2,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,4,7,5,6,5,6,5,7,6,8,8,9,8,10,10,11,12,12,12,14,11,17,12,18,13,19,12,20,11,21,11,21,13,21,14,22,15,24,16,24,15,24,16,26,17,29,18,28,19,27,8,15,28,51,28,51,27,50,25,51,25,51,25,49,26,47,27,48,28,47,29,46,28,44,27,43,27,43,27,43,27,42,26,42,23,42,20,42,17,41,14,40,12,38,11,37,10,35,9,33,7,31,4,28,0,26,-4,26,-2,4,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,1,6,8,5,10,6,12,7,13,8,14,9,14,10,15,11,18,13,20,15,23,17,25,20,27,21,29,22,32,23,34,23,37,22,40,23,41,23,42,24,42,24,43,26,46,27,47,28,48,30,50,32,53,34,54,34,55"
1778752373,"96,-128,5,0,30,-10,30,-11,30,-11,30,-11,29,-11,27,-10,25,-11,24,-14,24,-14,24,-14,24,-13,23,-12,22,-11,22,-12,23,-12,23,-11,23,-9,22,-8,21,-8,20,-9,18,-7,17,-5,16,-4,15,-2,15,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,5,-2,6,-2,8,-2,9,-3,10,-3,10,-3,11,-4,13,-4,15,-5,17,-4,19,-5,20,-6,22,-6,22,-5,22,-5,23,-6,23,-6,24,-7,25,-7,26,-6,26,-5,27,-7,29,-7,29,-7,29,-8,29,-9,18,-5,61,-17,62,-16,60,-17,59,-17,57,-17,55,-17,52,-17,50,-18,47,-19,47,-20,46,-21,47,-21,47,-22,46,-22,47,-22,46,-22,45,-20,44,-18,43,-15,42,-13,40,-12,37,-9,35,-7,32,-6,31,-4,30,-2,30,2,28,5,4,0,1,0,-1,0,-1,0,-1,-1,0,0,1,0,10,0,10,-1,11,-3,12,-3,15,-4,18,-4,20,-4,21,-5,22,-6,24,-8,27,-9,31,-8,34,-8,37,-8,40,-8,43,-8,43,-8,45,-8,47,-7,49,-7,51,-7,53,-7,55,-8,58,-10,59,-12,60,-12,59,-13,58,-13"
1778752374,"94,96,5,0,-27,-14,-25,-14,-25,-14,-25,-14,-24,-14,-25,-13,-25,-12,-25,-12,-25,-12,-24,-12,-23,-12,-22,-12,-21,-11,-20,-11,-21,-13,-21,-13,-19,-11,-19,-10,-17,-10,-15,-10,-15,-11,-14,-13,-13,-11,-12,-9,-10,-9,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-6,-4,-5,-5,-7,-5,-9,-5,-11,-6,-11,-6,-11,-5,-12,-5,-14,-5,-15,-6,-17,-7,-18,-8,-18,-10,-19,-10,-19,-10,-21,-11,-22,-11,-21,-12,-21,-13,-21,-14,-22,-14,-22,-14,-23,-14,-26,-14,-27,-14,-26,-12,-18,-8,-57,-24,-52,-24,-49,-24,-48,-23,-47,-23,-46,-22,-47,-20,-47,-19,-47,-18,-46,-17,-46,-17,-45,-16,-45,-17,-45,-17,-43,-19,-42,-19,-40,-20,-37,-19,-35,-19,-34,-18,-31,-18,-30,-19,-29,-19,-26,-18,-24,-18,-21,-18,-18,-17,-17,-17,-3,-4,-1,-2,0,0,0,0,0,-1,-1,-1,-1,-1,-7,-7,-9,-7,-11,-8,-12,-9,-15,-9,-17,-9,-18,-9,-19,-8,-21,-7,-24,-7,-27,-8,-30,-10,-32,-11,-35,-14,-38,-16,-38,-19,-40,-19,-41,-19,-42,-19,-42,-20,-42,-21,-43,-23,-44,-23,-45,-23,-46,-23,-48,-24,-50,-24,-50,-23"
1778752374,"94,96,5,0,-16,27,-16,26,-15,24,-13,23,-13,23,-13,24,-13,24,-13,23,-12,23,-12,23,-12,22,-12,21,-12,21,-13,21,-13,21,-13,21,-13,20,-12,18,-11,17,-10,15,-11,14,-11,12,-10,11,-10,12,-10,12,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-5,5,-4,5,-4,5,-5,6,-6,8,-7,10,-7,11,-6,12,-7,12,-9,14,-10,16,-10,16,-10,15,-11,16,-12,18,-13,19,-12,19,-13,20,-14,21,-14,22,-14,22,-15,23,-17,24,-17,25,-17,26,-18,27,-11,14,-35,47,-36,46,-36,44,-35,43,-33,42,-31,43,-29,43,-28,44,-28,44,-28,43,-27,42,-27,41,-27,39,-27,38,-27,38,-26,37,-27,36,-25,35,-24,32,-22,30,-21,27,-21,25,-22,24,-22,23,-22,21,-22,20,-25,15,-24,13,-5,2,-2,0,0,-1,0,-1,0,-1,-1,0,-2,1,-11,6,-12,6,-11,8,-10,8,-11,9,-12,11,-13,14,-14,16,-14,18,-14,20,-14,22,-16,26,-18,29,-20,31,-23,31,-26,32,-29,33,-29,33,-28,34,-28,35,-29,36,-30,37,-31,39,-32,41,-34,42,-35,44,-35,47,-36,49"
1778752374,"94,96,5,0,24,22,23,21,23,21,24,22,24,21,23,19,22,18,23,17,24,16,23,14,21,15,21,17,21,17,20,16,18,16,17,16,16,15,15,15,14,15,13,16,12,15,11,14,10,14,9,13,8,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,4,3,5,4,7,6,8,6,8,6,9,6,11,8,12,9,14,10,15,11,16,12,16,13,16,14,15,15,17,16,18,17,19,17,19,17,20,18,21,18,21,19,21,19,22,19,23,19,22,20,16,11,51,38,50,38,49,38,48,38,48,37,46,34,46,31,45,29,47,28,48,27,48,26,45,26,44,28,43,30,41,29,38,29,37,29,36,29,34,29,30,29,28,28,25,27,22,26,20,25,18,24,16,23,13,21,11,21,1,3,0,1,-1,-1,-1,-1,-1,-1,0,0,0,1,4,10,6,10,8,8,9,8,10,9,13,11,15,12,17,14,19,15,21,18,24,19,27,21,29,22,30,23,31,25,31,27,31,28,33,29,34,30,35,31,35,32,37,33,40,34,42,35,44,35,46,35,48,36,48,39"
1778752374,"96,-128,5,0,5,32,5,31,5,30,6,28,7,28,6,30,7,30,7,28,8,26,8,25,7,24,7,24,7,23,7,24,7,24,7,23,6,21,5,19,4,18,4,18,3,18,2,18,1,17,0,15,-2,13,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,-2,8,-2,8,-1,9,-1,10,0,11,2,12,2,14,0,16,0,17,0,16,2,17,2,19,1,20,1,21,2,23,2,25,1,26,2,26,3,27,2,28,3,29,4,30,5,31,5,32,5,31,2,9,7,29,8,29,9,28,10,28,10,27,10,27,9,27,9,26,9,26,9,25,9,24,9,23,9,23,8,22,8,21,8,21,8,21,7,20,6,19,5,18,4,18,3,17,2,17,2,15,1,14,0,13,0,12,-2,12,-1,1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0,0,1,2,1,4,0,7,-1,7,0,7,1,8,2,8,3,9,4,10,4,12,4,14,3,15,4,16,4,17,5,18,4,20,4,20,4,21,4,22,4,22,5,23,5,24,6,25,6,26,6,27,7,28,7,28,8,28"
1778752375,"94,96,5,0,23,21,22,22,21,23,21,22,21,20,22,18,23,16,22,17,21,17,21,16,20,17,19,17,18,16,17,16,16,16,16,16,15,14,12,13,11,13,12,14,11,14,9,13,8,13,7,13,6,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,5,5,6,6,7,7,9,8,10,8,9,8,10,9,12,11,13,12,13,14,14,15,16,15,16,15,17,16,17,18,17,19,16,20,17,20,18,19,18,19,18,20,17,21,20,22,22,21,20,20,10,13,37,44,37,45,38,46,39,46,39,43,38,39,37,36,36,34,35,34,35,35,35,35,35,34,34,33,32,33,30,32,29,32,28,32,26,32,23,30,21,29,21,28,18,28,16,27,14,27,11,26,9,26,2,25,2,23,0,4,-1,0,0,-1,-1,-1,-1,-1,0,0,1,1,7,8,7,10,7,11,8,12,9,13,10,14,12,15,13,15,14,17,17,19,20,20,23,22,23,26,24,29,25,32,27,35,29,37,30,40,30,41,30,41,31,41,32,41,33,40,33,40,34,42,37,43,39,44,39,45"
