1778750198,94,96,5,0,8,2,6,0,7,0,6,-1,5,-2,3,-5,3,-7,3,-9,3,-11,3,-14,4,-14,2,-14,0,-16,0,-17,2,-18,4,-18,5,-18,3,-18,3,-19,5,-18,6,-17,7,-17,6,-16,5,-15,5,-15,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,19,13,20,14,22,16,23,18,23,20,23,21,24,21,24,21,23,22,23,25,25,27,26,25,26,24,23,24,21,23,21,23,22,23,21,23,21,21,20,17,18,15,16,15,15,13,15,12,15,11,13,10,6,1,21,5,18,3,17,1,16,-1,13,-4,10,-8,6,-12,3,-16,2,-20,1,-24,0,-26,1,-28,0,-28,-1,-30,-1,-32,-1,-33,1,-34,1,-34,1,-34,2,-34,3,-32,4,-32,5,-30,6,-29,7,-29,9,-28,9,-30,13,-29,2,-5,1,-2,-1,0,-2,-1,-1,-1,1,0,7,2,41,15,42,19,40,23,41,26,42,28,43,31,43,33,45,34,46,36,47,38,48,39,48,43,48,46,47,46,45,45,43,44,40,42,40,39,40,38,39,38,39,37,38,34,37,31,36,28,33,24,31,21,28,19,25,18
1778750198,94,96,5,0,10,0,10,0,6,-1,3,-1,2,-1,1,0,-2,0,-4,0,-6,1,-7,1,-9,0,-9,1,-10,1,-12,0,-13,-1,-13,0,-14,1,-14,2,-14,2,-13,1,-14,0,-15,0,-14,0,-13,-1,-12,-3,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,25,0,25,1,26,3,28,3,29,2,30,3,30,4,31,5,32,4,34,2,34,1,34,2,35,3,35,3,34,1,33,1,32,2,30,3,28,2,26,1,24,0,23,-1,22,-1,21,0,20,-1,19,-2,4,-2,13,-3,11,-2,9,-2,7,-1,5,-1,4,-1,2,0,-1,0,-3,0,-4,0,-6,0,-7,0,-9,0,-10,0,-12,0,-13,0,-13,0,-13,0,-14,0,-13,0,-14,0,-14,0,-14,-1,-14,-1,-13,-1,-12,-1,-12,-1,-10,-2,-2,-1,-1,-1,0,-1,-1,0,-1,0,1,-1,3,-1,22,-4,21,-4,23,-1,24,-1,25,1,26,1,27,1,28,1,28,1,29,0,31,0,32,-1,32,-1,33,0,33,0,32,0,31,0,30,0,30,0,29,0,28,-1,26,-2,24,-3,23,-3,22,-3,21,-3,20,-3,18,-4
1778750198,94,96,5,0,-4,11,-2,8,-1,6,-3,5,-3,2,0,0,2,-1,1,-3,0,-2,-1,-1,0,-3,2,-6,3,-9,5,-10,6,-10,7,-10,6,-10,5,-11,5,-11,4,-10,5,-9,6,-9,6,-10,6,-10,4,-8,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,6,-9,24,-10,25,-11,26,-11,28,-11,28,-12,29,-12,28,-11,29,-12,30,-14,32,-15,33,-13,33,-11,33,-12,32,-13,30,-12,29,-12,29,-11,28,-10,27,-10,25,-9,24,-8,23,-8,22,-9,20,-9,19,-8,19,-2,4,-5,13,-4,10,-3,8,-3,7,-3,5,-2,3,-1,0,1,-2,1,-4,1,-5,1,-4,1,-5,2,-6,3,-6,4,-7,5,-8,6,-9,6,-9,6,-9,6,-10,6,-9,7,-8,7,-8,7,-8,7,-8,6,-7,7,-5,6,-4,1,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-2,3,-11,17,-12,17,-11,21,-12,22,-13,23,-14,24,-14,24,-14,24,-14,24,-15,25,-16,27,-17,28,-18,28,-17,28,-17,27,-16,26,-16,26,-15,26,-15,25,-14,24,-14,23,-13,22,-13,20,-12,19,-11,19,-10,18,-9,17,-8,16
1778750199,96,-128,5,0,-10,-8,-8,-7,-5,-6,-4,-6,-4,-5,-3,-3,-1,0,3,1,5,1,6,2,6,3,6,3,9,4,9,6,8,9,8,9,8,9,10,9,11,10,11,11,9,10,7,9,6,10,5,11,4,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-4,-23,-14,-24,-15,-24,-16,-25,-17,-27,-17,-29,-18,-29,-18,-29,-18,-29,-18,-29,-20,-29,-22,-30,-22,-29,-21,-29,-21,-30,-23,-31,-22,-30,-19,-27,-17,-26,-16,-24,-14,-22,-14,-21,-15,-21,-14,-20,-11,-20,-10,-20,-10,-8,-3,-22,-9,-20,-8,-15,-7,-10,-5,-7,-4,-5,-3,-1,-2,2,1,6,4,9,4,11,5,11,6,13,7,15,9,16,12,15,15,16,17,16,17,18,17,18,18,18,19,16,18,15,18,14,17,12,17,11,17,11,16,11,16,1,2,0,0,-1,-1,1,0,0,0,-3,-2,-9,-5,-47,-25,-45,-24,-44,-25,-44,-27,-45,-29,-48,-29,-51,-31,-55,-32,-56,-33,-56,-34,-56,-36,-57,-39,-57,-41,-58,-40,-56,-39,-56,-39,-56,-41,-56,-40,-54,-38,-50,-35,-49,-31,-48,-27,-44,-24,-41,-23,-38,-23,-37,-22,-36,-21,-36,-19
1778750199,96,-128,5,0,6,-11,5,-8,4,-5,2,-3,1,-2,0,0,-1,2,-2,2,-3,3,-3,4,-5,3,-7,3,-8,5,-7,7,-8,8,-8,10,-9,9,-9,8,-10,7,-12,7,-13,7,-12,6,-11,5,-11,5,-10,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,16,-18,16,-17,18,-18,19,-20,21,-20,21,-20,21,-21,21,-21,21,-23,23,-24,24,-23,24,-23,24,-24,24,-22,24,-19,24,-19,22,-19,20,-18,18,-18,17,-18,16,-18,16,-18,15,-16,14,-14,13,-15,11,-16,5,-7,16,-21,14,-17,12,-12,10,-8,7,-5,4,-2,1,1,-2,4,-5,6,-7,7,-8,8,-8,8,-10,7,-13,9,-15,11,-16,13,-17,15,-18,15,-19,14,-19,13,-21,13,-21,11,-20,10,-19,10,-19,9,-19,8,-18,7,-17,7,-4,1,-1,0,0,-1,-2,0,-1,0,1,-2,6,-6,34,-29,35,-28,34,-30,35,-29,37,-30,39,-33,41,-34,41,-35,43,-37,44,-37,45,-38,47,-39,49,-39,50,-40,51,-40,51,-39,50,-37,48,-35,46,-33,43,-31,40,-31,38,-32,36,-32,35,-31,32,-28,28,-26,25,-27,22,-27
1778750199,96,-128,5,0,-8,8,-7,6,-5,5,-3,6,-2,5,-2,4,2,3,5,4,7,4,8,4,8,3,9,1,10,1,11,3,12,5,13,5,13,4,14,3,13,4,12,5,13,4,12,4,11,4,11,5,12,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,4,-19,16,-20,16,-21,17,-23,17,-23,17,-24,18,-25,18,-25,18,-26,18,-28,18,-29,17,-29,17,-29,17,-30,16,-29,16,-28,17,-26,16,-23,15,-22,15,-22,14,-22,14,-21,13,-19,12,-15,12,-14,12,-14,11,-5,7,-15,22,-14,18,-12,15,-9,13,-5,13,-2,12,1,10,5,7,9,6,13,5,16,5,17,4,18,3,20,3,22,3,24,3,26,3,28,4,29,5,29,6,28,7,27,7,25,7,24,9,22,10,20,10,17,10,17,7,2,1,0,0,-1,-1,1,-1,0,-1,-3,1,-6,5,-32,29,-32,30,-35,30,-37,31,-40,33,-44,33,-47,33,-49,34,-50,35,-51,35,-51,35,-53,35,-53,35,-52,34,-51,33,-51,33,-51,33,-50,33,-48,32,-45,31,-43,30,-41,29,-40,28,-37,27,-33,26,-30,24,-27,22,-26,20
1778750199,94,96,5,0,-8,7,-6,5,-3,3,-1,3,0,3,1,2,3,1,4,0,5,-1,7,-1,8,-2,10,-5,11,-4,12,-2,13,-3,14,-2,14,-1,14,-2,13,-2,12,-1,12,1,13,1,13,-1,13,-1,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,-15,18,-15,19,-15,20,-17,20,-18,20,-19,21,-21,21,-21,21,-21,21,-22,22,-22,23,-22,22,-23,21,-22,22,-22,22,-22,20,-22,19,-20,18,-19,18,-17,17,-16,17,-16,16,-17,16,-14,15,-11,13,-9,13,-7,5,-20,16,-16,14,-12,11,-8,9,-4,7,-1,6,3,4,6,2,8,0,11,-1,13,0,15,0,18,-2,20,-1,23,-1,25,-2,26,-2,26,-2,25,0,24,1,23,2,24,4,24,4,24,3,23,4,21,6,20,12,19,14,3,2,1,0,-1,-1,0,-2,0,-1,-2,1,-6,5,-32,30,-33,28,-32,31,-32,31,-34,32,-36,34,-39,34,-41,34,-43,33,-45,34,-47,35,-47,35,-48,36,-48,35,-48,33,-49,33,-48,33,-47,32,-46,31,-44,30,-42,29,-40,28,-38,26,-36,26,-33,26,-29,24,-24,21,-20,20
1778750200,96,-128,5,0,10,3,7,4,5,4,2,3,1,3,0,0,-1,-3,-4,-3,-7,-2,-9,-4,-10,-6,-10,-6,-12,-6,-15,-6,-15,-6,-15,-8,-14,-10,-12,-10,-12,-11,-12,-11,-12,-10,-12,-10,-12,-11,-12,-11,-11,-10,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,15,19,16,19,18,21,19,23,19,26,20,26,20,25,21,26,20,28,19,29,19,28,19,26,20,26,20,27,20,26,19,25,18,25,17,25,16,23,16,22,14,22,11,22,11,20,11,18,9,15,8,6,3,20,7,15,5,11,4,7,2,4,-1,2,-2,0,-4,-3,-5,-8,-7,-12,-7,-17,-9,-20,-10,-20,-11,-22,-11,-23,-13,-26,-14,-26,-15,-25,-17,-25,-18,-24,-19,-24,-19,-23,-19,-22,-19,-21,-18,-20,-17,-18,-17,-14,-15,-11,-15,-2,-3,-1,-1,0,0,-2,-1,-1,-1,1,1,6,5,33,30,33,32,36,31,36,33,37,35,40,38,42,41,45,42,47,43,49,44,51,44,51,44,50,43,48,41,47,40,47,39,49,38,48,36,46,35,45,34,44,32,44,29,42,26,42,23,40,21,37,20,34,19,31,19
1778750200,94,96,5,0,0,9,-2,6,-3,4,-2,3,0,0,0,-3,-1,-3,-3,-4,-4,-6,-4,-9,-4,-10,-4,-12,-4,-13,-6,-13,-6,-15,-4,-17,-4,-16,-5,-14,-5,-15,-5,-15,-4,-14,-3,-14,-4,-15,-3,-15,-1,-16,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,25,0,26,-1,27,0,29,1,32,1,33,1,32,0,31,0,31,1,32,1,34,1,36,2,35,3,32,3,30,3,30,3,31,2,31,3,30,4,27,3,24,4,23,3,22,3,21,4,19,5,17,1,3,2,10,0,10,-2,8,-3,6,-3,4,-3,1,-3,0,-3,-1,-3,-3,-3,-5,-3,-7,-3,-9,-4,-10,-5,-11,-6,-12,-6,-14,-6,-16,-6,-16,-6,-16,-6,-17,-5,-17,-5,-16,-4,-16,-4,-15,-4,-15,-2,-15,-2,-15,-1,-15,0,-3,0,-1,0,0,-1,-1,-1,-1,0,1,0,3,5,23,4,23,2,24,0,25,-1,26,0,27,1,29,1,30,1,31,1,31,2,32,2,33,2,34,2,34,3,34,3,33,3,31,3,31,3,31,4,30,4,28,4,25,4,24,3,23,3,22,2,20,2,19,3,17
1778750200,96,-128,5,0,-2,8,-2,7,-1,5,0,3,0,-1,1,-2,0,-3,0,-5,1,-7,2,-9,1,-12,1,-12,2,-13,3,-15,3,-18,2,-17,3,-14,2,-14,4,-15,6,-17,6,-17,5,-15,6,-15,6,-14,7,-12,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5,-8,24,-10,25,-11,25,-11,26,-11,28,-11,29,-12,30,-13,30,-14,31,-11,33,-10,32,-11,33,-13,34,-13,33,-12,32,-10,32,-9,31,-8,29,-8,29,-8,29,-7,28,-6,24,-4,19,-2,18,-3,18,-4,17,-2,4,-4,12,-3,10,-3,8,-2,5,0,3,1,1,1,-1,1,-3,1,-6,1,-8,1,-10,1,-11,2,-12,4,-11,4,-12,5,-14,5,-14,6,-14,6,-15,7,-15,8,-15,8,-15,8,-14,8,-14,8,-13,8,-12,10,-11,10,-10,1,-2,0,-1,-1,0,0,-1,0,-1,-1,1,-3,3,-11,21,-11,22,-10,22,-10,23,-11,24,-12,25,-12,27,-13,28,-14,28,-14,28,-14,28,-13,28,-13,28,-14,29,-15,30,-15,30,-13,29,-11,28,-10,27,-9,26,-10,25,-10,25,-10,24,-10,23,-9,21,-7,20,-6,18,-5,15
